1.0 0.33543399718085429E+001 0.48742683436551332E-002 0.28867682004223972E-015 0.69542904772809223E-018
2.0 0.36101825712193545E+001 0.55925140774365301E-002 0.32232213603222660E-015 0.10171965616915879E-017
3.0 0.36282875530547378E+001 0.52234457269772277E-002 0.32381959351075804E-015 0.78422672973819911E-018
4.0 0.36359638890416544E+001 0.66836050722870587E-002 0.32478211717696307E-015 0.88793068476463488E-018
5.0 0.36314562422061818E+001 0.54203138471561078E-002 0.32422455022102269E-015 0.70378031985369688E-018
6.0 0.36360812491111072E+001 0.60950176673066209E-002 0.32504820674108416E-015 0.90058752825453569E-018
7.0 0.36307697295781849E+001 0.62702751102745886E-002 0.32462827295840414E-015 0.11365364390422471E-017
8.0 0.36404505916160259E+001 0.96827148962238263E-002 0.32604106165871907E-015 0.16178215440814411E-017
9.0 0.36365796773755439E+001 0.50685882155454675E-002 0.32509991184880081E-015 0.72998295991765566E-018
10.0 0.36332480188019964E+001 0.48327625845164118E-002 0.32418424191738135E-015 0.72193768557815166E-018
