1.0 -0.13443675821092180E+002 0.24113624791316304E-002
2.0 -0.13604465157633390E+002 0.21740335127948332E-002
3.0 -0.13617287989689967E+002 0.22297996534863759E-002
4.0 -0.13623484161439700E+002 0.37195744222763387E-002
5.0 -0.13619545243227092E+002 0.22147025452973054E-002
6.0 -0.13621902353864172E+002 0.21916659288591395E-002
7.0 -0.13619763724118501E+002 0.23231540799198511E-002
8.0 -0.13619683808629269E+002 0.28452340971593291E-002
9.0 -0.13623675258430969E+002 0.28621448805061507E-002
10.0 -0.13620671266816904E+002 0.23817641522608300E-002
