1.0 0.29210095376081058E+001 0.29214531465339174E-002 0.23464782916815709E-015 0.41703285370845154E-018
2.0 0.33677791470838310E+001 0.76010260447798841E-002 0.29221724204263792E-015 0.12010582521894456E-017
3.0 0.35189418049942303E+001 0.50090574091604225E-002 0.31031662742515859E-015 0.73783419091930325E-018
4.0 0.35983494455837972E+001 0.10537359178244780E-001 0.32126325491256781E-015 0.17910416839131699E-017
5.0 0.36284639994996803E+001 0.16794227159369398E-001 0.32432916595552319E-015 0.25785912249212432E-017
6.0 0.36235731842894667E+001 0.50728694451924869E-002 0.32379322016940309E-015 0.76575516738180092E-018
7.0 0.36220730920180531E+001 0.56845418386217862E-002 0.32315670371191716E-015 0.73418705582751582E-018
8.0 0.36143450160427171E+001 0.46426046999919861E-002 0.32200424293042359E-015 0.63492426961878919E-018
9.0 0.36299547657763336E+001 0.80509163695471498E-002 0.32425179858709891E-015 0.94528327755872243E-018
10.0 0.36204744291400965E+001 0.50339478921340754E-002 0.32260013389884758E-015 0.68299129758536870E-018
