1.0 -0.13183498207352519E+002 0.20101420464234345E-002
2.0 -0.13467566454587182E+002 0.22045628894240923E-002
3.0 -0.13569452227161470E+002 0.25347309313146276E-002
4.0 -0.13603292533654141E+002 0.24151858790536144E-002
5.0 -0.13621261021567641E+002 0.39884150305999413E-002
6.0 -0.13622014391689227E+002 0.27192267216088225E-002
7.0 -0.13619857871514098E+002 0.23211312911933812E-002
8.0 -0.13616301329084173E+002 0.21996164199582333E-002
9.0 -0.13619957111797035E+002 0.26626770803039120E-002
10.0 -0.13616145144015087E+002 0.21322796349265995E-002
